PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked
1,0,3,male,22,7.25,S
2,1,1,female,38,71.28,C
3,1,3,female,26,7.92,S
4,1,1,female,35,53.1,S
5,0,3,male,35,8.05,S
6,0,3,male,,8.46,Q
7,0,1,male,54,51.86,S
8,0,3,male,2,21.08,S
9,1,3,female,27,11.13,S
10,1,2,female,14,30.07,C
11,1,3,female,4,16.7,S
12,1,1,female,58,26.55,S
13,0,3,male,20,8.05,S
14,0,3,male,39,31.28,S
15,0,3,female,14,7.85,S
16,1,2,female,55,16.0,S
17,0,3,male,2,29.13,Q
18,1,2,male,,13.0,S
19,0,3,female,31,18.0,S
20,1,3,female,15,7.22,C